accX,accY,accZ,rotX,rotY,rotZ,graX,graY,graZ,activity
-0.047884032,0.19153613,9.998186,0.003281219,-0.0008726646,0.00012217305,-0.049,0.18509999,9.8047,Walking_Type
-0.02873042,0.20111294,10.103531,0.003281219,-0.0008726646,0.00012217305,-0.049,0.18509999,9.8047,Walking_Type
-0.02873042,0.20111294,10.103531,0.003281219,-0.0008726646,0.00012217305,-0.049,0.18419999,9.8047,Walking_Type
-0.02873042,0.20111294,10.103531,0.003281219,-0.0008726646,0.00012217305,-0.049,0.18419999,9.8047,Walking_Type
-0.02873042,0.20111294,10.103531,0.003281219,-0.0008726646,0.00012217305,-0.050499998,0.18329999,9.8048,Walking_Type
-0.02873042,0.20111294,10.103531,0.003281219,-0.0008726646,0.00012217305,-0.050499998,0.18329999,9.8048,Walking_Type
-0.02873042,0.20111294,10.103531,0.003281219,-0.0008726646,0.00012217305,-0.0495,0.18329999,9.8048,Walking_Type
-0.02873042,0.20111294,10.103531,0.003281219,-0.0008726646,0.00012217305,-0.0495,0.18329999,9.8048,Walking_Type
-0.02873042,0.20111294,10.103531,-0.00036651915,-0.002094395,0.00012217305,-0.051,0.184,9.8047,Walking_Type
-0.02873042,0.20111294,10.103531,-0.00036651915,-0.002094395,0.00012217305,-0.0499,0.1847,9.8047,Walking_Type
-0.076614454,0.20111294,10.093954,-0.00036651915,-0.002094395,0.00012217305,-0.0499,0.1847,9.8047,Walking_Type
-0.076614454,0.20111294,10.093954,-0.00036651915,-0.002094395,0.00012217305,-0.0499,0.1847,9.8047,Walking_Type
-0.076614454,0.20111294,10.093954,-0.00036651915,-0.002094395,0.00012217305,-0.048899997,0.1845,9.8047,Walking_Type
-0.076614454,0.20111294,10.093954,-0.00036651915,-0.002094395,0.00012217305,-0.048899997,0.1845,9.8047,Walking_Type
-0.076614454,0.20111294,10.093954,-0.00036651915,-0.002094395,0.00012217305,-0.0488,0.18509999,9.8047,Walking_Type
-0.076614454,0.20111294,10.093954,-0.00036651915,-0.002094395,0.00012217305,-0.0471,0.1849,9.8047,Walking_Type
-0.076614454,0.20111294,10.093954,-0.00036651915,-0.002094395,0.00012217305,-0.0471,0.1849,9.8047,Walking_Type
-0.076614454,0.20111294,10.093954,-0.00036651915,-0.002094395,0.00012217305,-0.047199998,0.1846,9.8047,Walking_Type
-0.076614454,0.20111294,10.093954,-0.00036651915,-0.002094395,0.00012217305,-0.047199998,0.1846,9.8047,Walking_Type
-0.076614454,0.20111294,10.093954,-0.00036651915,-0.002094395,0.00012217305,-0.0464,0.18519999,9.8047,Walking_Type
-0.047884032,0.20111294,10.065224,-0.00036651915,-0.002094395,0.00012217305,-0.0464,0.18519999,9.8047,Walking_Type
